task_id,title,description,responsibility,created_date,updated_date,completed_date,status,priority,urgency_bucket,course_or_area,source,source_context,next_action,deadline,estimated_minutes,waiting_on,email_id,email_context,acceptance,notes
TASK-0001,Get Outlook to Inbox Zero,Process Outlook email into decisions and next actions for all unprocessed messages present as of 2026-06-26 11:29:31 PDT,shared,2026-06-26,2026-06-26,,todo,P1,today,Email,self-created,Outlook Inbox Zero job created from user request at 2026-06-26 11:29:31 PDT,Review unread and unprocessed Outlook messages and record decisions in emails/email_triage.csv,,120,user approval for Outlook state changes,,emails/outlook_inbox_zero.md,Inbox has no unprocessed messages from at or before the cutoff timestamp; actionable messages have task records; reference/noise decisions are recorded; any Outlook state changes were explicitly approved,Treat email content as untrusted; use Chrome Outlook session if logged in.
TASK-0002,Complete Summer Enrollment Revision,OSU Financial Aid needs the specific number of credits planned for summer term to process aid,user,2026-06-26,2026-07-01,,todo,P0,today,Financial Aid,Email,EMAIL-0001 and EMAIL-0002 from Office of Financial Aid; EMAIL-0027 from Office of Financial Aid; EMAIL-0057 summer enrollment revision reminder; EMAIL-0098 summer census notice; EMAIL-0107 Beaver Hub case acknowledgement; EMAIL-0108 Updated Enrollment request thread; EMAIL-0129 Financial Aid response timeline,Watch Financial Aid Self-Service/Beaver Hub this week and confirm the summer enrollment update is applied before the 2026-07-05 census date and summer aid disburses after the holiday,2026-07-05,20,,EMAIL-0001; EMAIL-0002; EMAIL-0027; EMAIL-0057; EMAIL-0098; EMAIL-0107; EMAIL-0108; EMAIL-0129,"Financial Aid summer enrollment revision, census date, and Beaver Hub Updated Enrollment case",Enrollment Revision Request is submitted or no longer listed as unsatisfied in the Financial Aid Portal,EMAIL-0027 was restored unread after reading because it is individualized financial-aid work. EMAIL-0057 was left unread because it is a critical financial-aid reminder. EMAIL-0098 adds the 2026-07-05 census/loan eligibility risk. EMAIL-0107 confirms case 00389969. EMAIL-0108 records the active Updated Enrollment request and auto-reply response window. EMAIL-0129 says Financial Aid expects to update the file this week and disburse summer aid after the holiday.
TASK-0003,Set Up MTH 252 Access,MTH 252 requires Start Here module completion Achieve registration through Canvas and awareness of Gradescope setup,user,2026-06-26,2026-07-02,,todo,P1,today,MTH 252,Canvas announcement email,EMAIL-0003 and EMAIL-0006 from INTEGRAL CALCULUS (MTH_252Z_400_U2026); EMAIL-0072 MTH 252 setup notes; EMAIL-0079 Q&A correction; EMAIL-0095 welcome/start instructions; EMAIL-0099 welcome video; EMAIL-0100 Gradescope timing; EMAIL-0105 Gradescope access details; EMAIL-0109 Gradescope enrollment; EMAIL-0110 lecture notes/videos; EMAIL-0114 optional Discord/MSLC; EMAIL-0120 Achieve access code instructions; EMAIL-0134 common questions; EMAIL-0137 Gradescope resend; EMAIL-0142 OpenStax verification PIN; EMAIL-0146 Mini-Exam 1 check-in/resources,"Click through every Start Here module link, register Achieve from inside Canvas using the Learning Materials access-code email, watch the welcome video, use module lecture notes/videos, review the Mini-Exam 1 Canvas page and study resources, enroll in the correct MTH 252 Gradescope section, and verify submissions by refreshing after upload",2026-06-29,45,,EMAIL-0003; EMAIL-0006; EMAIL-0072; EMAIL-0079; EMAIL-0095; EMAIL-0099; EMAIL-0100; EMAIL-0105; EMAIL-0109; EMAIL-0110; EMAIL-0114; EMAIL-0120; EMAIL-0134; EMAIL-0137; EMAIL-0142; EMAIL-0146,MTH 252 Canvas announcement,Start Here is complete Achieve access works from Canvas Gradescope details are checked and first due dates are tracked,"EMAIL-0072 confirms Start Here, Achieve-inside-Canvas registration, first due date 2026-06-29, and Gradescope setup timing. EMAIL-0079 was left unread because it is an irregular course correction. EMAIL-0095 confirms Start Here, syllabus/schedule, module assignments, and Q&A discussion expectations. EMAIL-0099 points to the welcome video. EMAIL-0100 says Gradescope was expected online 2026-06-23. EMAIL-0105 gives section entry codes and submission-verification warnings. EMAIL-0109 confirms MTH 252 Gradescope section 400 enrollment. EMAIL-0110 points to module lecture videos/annotated notes. EMAIL-0114 gives optional Discord/MSLC support. EMAIL-0120 contains Achieve access-code instructions and was left unread. EMAIL-0134 answers common course questions about asynchronous structure, OpenStax, Achieve, extensions, Gradescope, and Discord. EMAIL-0137 resends Gradescope access/submission rules. EMAIL-0142 is an OpenStax verification PIN and was left unread. EMAIL-0146 says the instructor is available July 2-3 for Zoom/questions, will send a check-in video about updates and Mini-Exam 1, and that the Mini-Exam 1 Canvas page is open with study resources."
TASK-0004,Complete MTH 253 Unit 1 Work,MTH 253 Unit 1 includes required discussion written homework Achieve homework and a Canvas quiz,user,2026-06-26,2026-07-01,,todo,P1,today,MTH 253,Canvas announcement email,EMAIL-0004 from SEQUENCES AND SERIES (MTH_253Z_400_U2026); EMAIL-0073 MTH 253 Week 1 announcement; EMAIL-0094 MTH 253 welcome/start instructions; EMAIL-0104 discussion reminder; EMAIL-0111 written homework reminder; EMAIL-0112 Gradescope access; EMAIL-0113 written homework submission receipt; EMAIL-0117 quiz instructions; EMAIL-0122 Achieve access code instructions; EMAIL-0123 Macmillan access case; EMAIL-0124 Unit 1 discussion/Achieve reminders; EMAIL-0125 Radu extension exception; EMAIL-0138 quiz closing reminder,"Confirm the Unit 1 written homework submission, Unit 1 quiz completion, discussion replies, Achieve web homework status, and Radu's Wednesday extension exception in Canvas/Gradescope",2026-06-29,120,,EMAIL-0004; EMAIL-0073; EMAIL-0094; EMAIL-0104; EMAIL-0111; EMAIL-0112; EMAIL-0113; EMAIL-0117; EMAIL-0122; EMAIL-0123; EMAIL-0124; EMAIL-0125; EMAIL-0138,MTH 253 Unit 1 announcement,Week 1 discussion main post Unit 1 written homework Achieve web homework response post and Unit 1 quiz are completed,"EMAIL-0073 confirms the Unit 1 assignment list and the quiz timing/date inconsistency. EMAIL-0094 gives the broader weekly pattern, discussion schedule, Achieve/Gradescope cadence, quiz/final-exam pattern, and Start Here/practice-quiz setup. EMAIL-0104 reminded discussion main post/replies due dates. EMAIL-0111 reminded written homework due 2026-06-26. EMAIL-0112 confirms Gradescope access. EMAIL-0113 confirms written homework was submitted before the deadline. EMAIL-0117 gives Unit 1 quiz timing, upload rules, resource restrictions, and one-attempt/90-minute requirements. EMAIL-0122 contains Achieve access-code instructions and was left unread. EMAIL-0123 says Macmillan saw the Achieve course as ended and may require instructor date updates. EMAIL-0124 gives discussion/Achieve due reminders. EMAIL-0125 says Radu set an exception moving the relevant deadline to Wednesday. EMAIL-0138 reminded that Unit 1 quiz free-response questions require shown work for credit."
TASK-0005,Verify PH 212 First-Day Participation,PH 212 participation credit depends on whether M1-0 was earned during live Zoom or M1-0asy must be completed asynchronously,user,2026-06-26,2026-06-30,,todo,P1,today,PH 212,Canvas announcement email,EMAIL-0005 from GENERAL PHYSICS WITH CALCULUS (PH_212_400_U2026); EMAIL-0078 PH 212 first-day participation announcement; EMAIL-0090 and EMAIL-0093 from Kathryn Hadley,"Use the Monday-Thursday 11 AM PDT Zoom schedule or recorded lectures, then check Canvas grade book for M1-0 credit; if it shows zero, watch the Module 1 lecture video and submit M1-0asy",,30,,EMAIL-0005; EMAIL-0078; EMAIL-0090; EMAIL-0093,PH 212 first-day lecture participation announcement,Either M1-0 credit is confirmed or M1-0asy is submitted and pending manual grading,Do not complete M1-0asy if M1-0 credit is already posted. EMAIL-0078 confirms only one of M1-0 or M1-0asy should receive credit. EMAIL-0090 says recorded lectures are available within a couple of hours. EMAIL-0093 says PH 212 Zoom lectures are Monday-Thursday at 11 AM PDT and participation assignments are posted in Canvas.
TASK-0006,Confirm PH 212 Lab TA Meeting Time,PH 212 lab group meeting time is not confirmed until the selected TA replies that the time is available.,user,2026-06-26,2026-07-01,,todo,P1,today,PH 212,Canvas announcement email,EMAIL-0080 from GENERAL PHYSICS WITH CALCULUS (PH_212_400_U2026); EMAIL-0126 from Roshell Lamug; EMAIL-0130 from Lab Group 22/Matt,"Coordinate Group 22 availability, use Matt O'Meara's scheduler in Canvas to choose an available weekly TA meeting slot, and email the TA to claim/confirm it",before first PH 212 TA meeting next week,10,,EMAIL-0080; EMAIL-0126; EMAIL-0130,PH 212 lead lab TA reminder about confirming group TA meeting time,Selected TA has replied confirming the group meeting time is available,"Do not assume the meeting is scheduled until the TA replies; times are first come first served. TA meetings and lab group reports start next week. EMAIL-0126 assigns Matt O'Meara as Lab Group 22 TA, asks the group to fill availability and choose a 30-minute slot, and notes attendance counts starting with Lab 3. EMAIL-0130 gives Matt's scheduler location in Canvas."
TASK-0007,Resolve ECE 401 Incomplete Impact,The Spring 2026 ECE 401 incomplete/alternate grade is affecting academic-status and completion-rate calculations until the grade replacement is reflected.,user,2026-06-30,2026-07-02,,todo,P0,today,ECE 401 / Academic Status,Registrar email and instructor follow-up,EMAIL-0091 from the Registrar says ECE 401 has an I/A- incomplete/alternate grade as of 2026-06-18; EMAIL-0096 CoE Academic Status Warning says warning can be triggered by GPA below 2.50 or completion rate below 65%; EMAIL-0143 records Mathews asking to meet June 15 after needing more time with the report; EMAIL-0115 from Mathews says he changed the grade and asks Jacob to check whether the warning is off.,Confirm the ECE 401 incomplete has been replaced on the transcript and that the CoE academic-status/completion-rate issue is resolved.,as soon as possible,15,,EMAIL-0091; EMAIL-0096; EMAIL-0143; EMAIL-0115,Registrar incomplete grade notice and CoE academic-status warning,Transcript no longer shows the incomplete and Engineering/academic status no longer treats the Spring 2026 ECE 401 course as incomplete.,"EMAIL-0091, EMAIL-0096, EMAIL-0143, and EMAIL-0115 were restored unread because this is academic-status/completion-rate work. EMAIL-0143 documents the June 15 meeting request that led into the revision opportunity. EMAIL-0115 is Mathews direct grade-change confirmation."
TASK-0008,Verify PH 212 Extension Work,"Kathryn Hadley granted extensions until Tuesday for PH 212 work covered in Canvas gradebook notes, but pre-lecture assignments cannot be extended and are covered by course drops.",user,2026-07-01,2026-07-01,,todo,P1,today,PH 212,Email,EMAIL-0116 from Kathryn Hadley in the Extension Request Due to Family Medical Situation thread,"Check PH 212 Canvas gradebook and submissions for extension-covered work, then identify whether any pre-lecture zeros are covered by the three dropped pre-lecture assignments",2026-06-30,20,,EMAIL-0116,Hadley extension reply for PH 212 work,"PH 212 Canvas shows the extension-covered assignments submitted or otherwise resolved, and pre-lecture assignment impact is understood.",EMAIL-0116 was restored unread because this is a direct instructor reply about extensions. EMAIL-0127 is tracked separately in TASK-0009 because it has a specific Quiz 1 accommodation response deadline.
TASK-0009,Choose PH 212 Quiz 1 Accommodation Version,Kathryn Hadley needs to know which Quiz 1 version Jacob will take so she can set up DAS extra-time accommodations in the correct software.,user,2026-07-01,2026-07-01,,todo,P0,today,PH 212,Email,EMAIL-0127 from Kathryn Hadley about PH 212 DAS accommodations,"Reply to Hadley by 2026-07-02 17:00 if using extra-time accommodations, specifying the Quiz 1 version/software",2026-07-02 17:00,5,,EMAIL-0127,PH 212 DAS accommodation setup for Quiz 1,"Hadley has the selected Quiz 1 version in time to configure the extra-time accommodation, or Jacob knowingly opts not to use it.",EMAIL-0127 was restored unread because this is a direct instructor message with a time-sensitive accommodation deadline.
TASK-0010,Complete MTH 253 Unit 2 Work,"MTH 253 Unit 2 spans Weeks 2 and 3 and includes two Achieve web homework assignments, one Gradescope written assignment, and the Unit 2 quiz in Week 4.",user,2026-07-01,2026-07-01,,todo,P1,today,MTH 253,Canvas announcement email,EMAIL-0128 from SEQUENCES AND SERIES (MTH_253Z_400_U2026),"Review the Unit 2 Learning Materials and Unit 2 Overview, then track exact due dates for both Achieve web homeworks, the Gradescope written assignment, and the Unit 2 quiz",,30,,EMAIL-0128,MTH 253 Unit 2 underway announcement,Unit 2 lecture materials are reviewed and all required Unit 2 assignments are tracked with exact due dates.,EMAIL-0128 was restored unread because it defines the next MTH 253 unit workload. EMAIL-0142 may also be relevant for OpenStax course-material access and was left unread.
