message_id,received_date,title,description,triaged_date,sender,subject,course_or_area,category,email_type,importance,priority,status,decision,mailbox_action,next_action,deadline,task_id,email_link_or_context,notes
EMAIL-0027,2026-05-28 13:34,Financial Aid Enrollment Revision Request,OSU Financial Aid asks Jacob to complete the unsatisfied Enrollment Revision Request with planned credits by term.,2026-06-26,Office of Financial Aid,Financial Aid Enrollment Revision Request,Financial Aid,financial aid,personal,critical,P0,actionable,Complete the unsatisfied Enrollment Revision Request in the Financial Aid Portal; keep unread for user attention.,restored_unread,Open the Financial Aid Portal Home tab and complete the Enrollment Revision Request with planned credits by term.,as soon as possible,TASK-0002,"Outlook message from Office of Financial Aid, received Thu 5/28/2026 1:34 PM, addressed to Peterson, Jacob Neil; Financial Aid Portal Home tab unsatisfied request.",Full body read. Opening naturally marked it read; Codex restored unread with Control+U. Unread search for the subject found the message afterward.
EMAIL-0057,2026-06-04 16:22,Complete Summer Enrollment Revision reminder,OSU Financial Aid reminded Jacob to update expected summer enrollment status in the 2026-27 Financial Aid Self-Service Portal so federal aid and loan eligibility can be reviewed accurately.,2026-06-26,Office of Financial Aid,Financial Aid - Complete Your Summer Enrollment Revision,Financial Aid,financial aid,irregular,critical,P0,actionable,Keep unread for user attention and use as a reminder/update for TASK-0002.,restored_unread,Open the 2026-27 Financial Aid Self-Service Portal Offer tab and update expected summer enrollment status/credits.,as soon as possible,TASK-0002,"Outlook message from Office of Financial Aid, received Thu 6/4/2026 4:22 PM, addressed to Jacob; update expected summer enrollment in the 2026-27 Financial Aid Self-Service Portal Offer tab.","Full body read. Opening did not mark it read; Outlook still showed Mark as read. Exact unread search isread:no ""Financial Aid - Complete Your Summer Enrollment Revision"" found the message. Existing Outlook flag was not changed. End verification found the exact Thu 6/4 row read after a delayed Outlook state change; Codex selected the Thu 6/4 result among duplicate-subject financial-aid messages, clicked scoped Mark as unread, and verified unread search isread:no ""Financial Aid - Complete Your Summer Enrollment Revision"" returned the Thu 6/4 flagged result."
EMAIL-0143,2026-06-15 08:11,Mathews June 15 meeting request,"Mathews said he needed more time to read the report and asked to meet at 2 PM on Zoom; the visible thread also includes the original report submission, revised report, follow-up, and later grade-change confirmation.",2026-07-02,"Mathews, V John",Report Attached,ECE 401 / Academic Status,admin,personal,high,P1,reference,Update TASK-0007 and keep unread because this personal Mathews thread is part of the ECE 401 incomplete/grade-change sequence.,restored_unread,Use TASK-0007 to confirm the ECE 401 grade replacement is visible and the CoE warning/completion-rate issue is cleared.,as soon as possible,TASK-0007,Outlook thread from V John Mathews received Mon 6/15/2026 8:11 AM; Report Attached thread and June 15 meeting request.,"Full body read. Opening showed the exact Mathews row was already unread and remained unread in the row state. Codex clicked Mark as unread because the first exact unread verification query did not find it, then reran verification. Verification: exact unread search isread:no received:6/15/2026 Mathews ""Report Attached"" found the exact message."
EMAIL-0090,2026-06-16 21:53,PH 212 recorded lecture availability,Kathryn Hadley replied that PH 212 recorded lectures are available within a couple of hours.,2026-06-30,"Hadley, Kathryn Z",PH 212 Zoom lectures,PH 212,course,personal,high,P1,actionable,Keep unread for user attention because this direct instructor reply affects PH 212 lecture/participation planning.,restored_unread,"Use recorded PH 212 lecture videos if live Zoom cannot be attended, then complete the matching Canvas participation assignment if needed.",,TASK-0005,"Outlook search result received:>=06/14/2026; scope=Inbox; sender=Hadley, Kathryn Z; subject=PH 212 Zoom lectures; displayed_received=Tue 6/16/2026 9:53 PM; preview=Yes, recorded lectures are available within a couple of hours. Dr. Kathryn Hadley Physics Department Oregon State University; raw=Collapsed Hadley, Kathryn Z PH 212 Zoom lectures Tue 6/16 Yes, recorded lectures are available within a couple of hours. Dr. Kathryn Hadley Physics Department Oregon State University; data_convid=AAQkADQ5MDMwNTI5LThlY2MtNDY0NC05MTI0LWRhNTRhMWY0YjkxNwAQAFp5xQJGI3ZClwJd7zyiJ58=","Loaded by load-inbox from surface metadata only. Outlook state at load: read. Full body not read; leave judgment fields for read-email. Search query received:>=06/14/2026 in Inbox; exact date title captured from Outlook row. Full body read. Opened exact Outlook result and captured matching header datetime. Opening/reading left or made the item read; Codex restored unread with Control+U Mark as unread. Verification query isread:no received:6/16/2026 ""PH 212 Zoom lectures"" returned the exact unread result."
EMAIL-0091,2026-06-18 11:18,ECE 401 incomplete grade notice,Registrar notice says Spring 2026 ECE 401 has an incomplete/alternate grade of I/A- and should be resolved with the instructor before the one-year deadline.,2026-06-30,Registrars Office,Incomplete Grade Received Spring 2026,ECE 401 / Academic Status,admin,irregular,critical,P0,actionable,Keep unread for user attention because the unresolved incomplete affects academic status and completion-rate calculations.,restored_unread,Confirm the ECE 401 incomplete has been replaced on the transcript and that the academic-status/completion-rate issue is resolved.,as soon as possible,TASK-0007,"Outlook search result received:>=06/14/2026; scope=Inbox; sender=Registrars Office; subject=Incomplete Grade Received Spring 2026; displayed_received=Thu 6/18/2026 11:18 AM; preview=Hello Jacob, This information was accurate as of 6/18/2026. Please view your unofficial transcript through BeaverHub for the most up to date grade information. If this incomplete grade has already been updated, please disregard this email. ; raw=Collapsed Registrars Office Incomplete Grade Received Spring 2026 Thu 6/18 Hello Jacob, This information was accurate as of 6/18/2026. Please view your unofficial transcript through BeaverHub for the most up to date grade information. If this incomplete grade has already been updated, please disregard this email. Do not reply; data_convid=AAQkADQ5MDMwNTI5LThlY2MtNDY0NC05MTI0LWRhNTRhMWY0YjkxNwAQAFX0hUHoX0oorwwhdClwJKQ=","Loaded by load-inbox from surface metadata only. Outlook state at load: read. Full body not read; leave judgment fields for read-email. Search query received:>=06/14/2026 in Inbox; exact date title captured from Outlook row. Full body read. Opened exact Outlook result and captured matching header datetime. Opening/reading left or made the item read; Codex restored unread with Control+U Mark as unread. Verification query isread:no received:6/18/2026 ""Incomplete Grade Received Spring 2026"" returned the exact unread result."
EMAIL-0093,2026-06-20 07:28,PH 212 Zoom lecture schedule,"Kathryn Hadley announced PH 212 Zoom lectures will meet Monday through Thursday at 11 AM PDT, with videos and participation assignments posted in Canvas.",2026-06-30,"Hadley, Kathryn Z",PH 212 Zoom lectures,PH 212,course,irregular,high,P1,actionable,Keep unread for user attention because this sets the PH 212 live lecture schedule and participation workflow.,restored_unread,Use the Monday-Thursday 11 AM PDT Zoom schedule or watch posted recordings and complete related participation assignments.,,TASK-0005,"Outlook search result received:>=06/14/2026; scope=Inbox; sender=Hadley, Kathryn Z; subject=PH 212 Zoom lectures; displayed_received=Sat 6/20/2026 7:28 AM; preview=Hi Everyone, The poll results are in. The Zoom lectures will be held on Mondays, Tuesdays, Wednesdays and Thursdays at 11 am PDT beginning Monday June 22. Please do not worry if you cannot make some or all of these times. Lecture videos wil; raw=Collapsed Hadley, Kathryn Z PH 212 Zoom lectures Sat 6/20 Hi Everyone, The poll results are in. The Zoom lectures will be held on Mondays, Tuesdays, Wednesdays and Thursdays at 11 am PDT beginning Monday June 22. Please do not worry if you cannot make some or all of these times. Lecture videos will be post; data_convid=AAQkADQ5MDMwNTI5LThlY2MtNDY0NC05MTI0LWRhNTRhMWY0YjkxNwAQAIPe7vJ+a01AjhSifnhvSsM=","Loaded by load-inbox from surface metadata only. Outlook state at load: read. Full body not read; leave judgment fields for read-email. Search query received:>=06/14/2026 in Inbox; exact date title captured from Outlook row. Full body read. Opened exact Outlook result and captured matching header datetime. Opening/reading left or made the item read; Codex restored unread with Control+U Mark as unread. Verification query isread:no received:6/20/2026 ""PH 212 Zoom lectures"" returned the exact unread result."
EMAIL-0094,2026-06-21 12:01,MTH 253 course start and weekly pattern,"MTH 253 welcome announcement explains Start Here, course documents, weekly assignment pattern, discussion timing, Achieve, Gradescope, quizzes, final exam, and support resources.",2026-06-30,SEQUENCES AND SERIES (MTH_253Z_400_U2026),Welcome to the class!: SEQUENCES AND SERIES (MTH_253Z_400_U2026),MTH 253,course,irregular,high,P1,actionable,Keep unread for user attention because this is current MTH 253 setup and schedule information.,restored_unread,"Review MTH 253 Start Here, syllabus, schedule, Q&A discussion, and practice quiz; use weekly pattern for assignment planning.",2026-06-29,TASK-0004,"Outlook search result received:>=06/14/2026; scope=Inbox; sender=SEQUENCES AND SERIES (MTH_253Z_400_U2026); subject=Welcome to the class!: SEQUENCES AND SERIES (MTH_253Z_400_U2026); displayed_received=Sun 6/21/2026 12:01 PM; preview=Welcome to MTH 253Z! My name is Dr. Radu Dascaliuc - you may call me Radu. I look forward to working with you this term. To be successful in this course, please plan to log in to participate on several days each week. While we will not have; raw=Collapsed SEQUENCES AND SERIES (MTH_253Z_400_U2026) Welcome to the class!: SEQUENCES AND SERIES (MTH_253Z_400_U2026) Sun 6/21 Welcome to MTH 253Z! My name is Dr. Radu Dascaliuc - you may call me Radu. I look forward to working with you this term. To be successful in this course, please plan to log in to participate on several days each week. While we will not have synchronous; data_convid=AAQkADQ5MDMwNTI5LThlY2MtNDY0NC05MTI0LWRhNTRhMWY0YjkxNwAQAOgrzFCuR5hOqwyNKV2JRWo=","Loaded by load-inbox from surface metadata only. Outlook state at load: read. Full body not read; leave judgment fields for read-email. Search query received:>=06/14/2026 in Inbox; exact date title captured from Outlook row. Full body read. Opened exact Outlook result and captured matching header datetime. Opening/reading left or made the item read; Codex restored unread with Control+U Mark as unread. Verification query isread:no received:6/21/2026 ""Welcome to the class!: SEQUENCES AND SERIES (MTH_253Z_400_U2026)"" returned the exact unread result."
EMAIL-0095,2026-06-21 19:46,MTH 252 course start instructions,"MTH 252 welcome announcement directs students to Modules, Start Here, syllabus, course schedule, Q&A discussion, and Canvas/IS support resources.",2026-06-30,INTEGRAL CALCULUS (MTH_252Z_400_U2026),Welcome to 252!: INTEGRAL CALCULUS (MTH_252Z_400_U2026),MTH 252,course,irregular,high,P1,actionable,Keep unread for user attention because this is current MTH 252 setup information.,restored_unread,"Review MTH 252 Start Here, syllabus, course schedule, and Q&A discussion before module assignments.",2026-06-29,TASK-0003,"Outlook search result received:>=06/14/2026; scope=Inbox; sender=INTEGRAL CALCULUS (MTH_252Z_400_U2026); subject=Welcome to 252!: INTEGRAL CALCULUS (MTH_252Z_400_U2026); displayed_received=Sun 6/21/2026 7:46 PM; preview=Welcome to MTH 252! I look forward to working with you this term. To be successful in this course, please plan to log in to participate on several days each module. While we will not have synchronous meeting times when everyone in the class; raw=Collapsed INTEGRAL CALCULUS (MTH_252Z_400_U2026) Welcome to 252!: INTEGRAL CALCULUS (MTH_252Z_400_U2026) Sun 6/21 Welcome to MTH 252! I look forward to working with you this term. To be successful in this course, please plan to log in to participate on several days each module. While we will not have synchronous meeting times when everyone in the class must be log; data_convid=AAQkADQ5MDMwNTI5LThlY2MtNDY0NC05MTI0LWRhNTRhMWY0YjkxNwAQACSWMR17nmlPljRzC8ZZuSE=","Loaded by load-inbox from surface metadata only. Outlook state at load: read. Full body not read; leave judgment fields for read-email. Search query received:>=06/14/2026 in Inbox; exact date title captured from Outlook row. Full body read. Opened exact Outlook result and captured matching header datetime. Opening/reading left or made the item read; Codex restored unread with Control+U Mark as unread. Verification query isread:no received:6/21/2026 ""Welcome to 252!: INTEGRAL CALCULUS (MTH_252Z_400_U2026)"" returned the exact unread result."
EMAIL-0072,2026-06-21 19:52,MTH 252 setup notes,"MTH 252 announcement says sections 400 and 401 share one Canvas course; Start Here links are required before Week 1, first due dates are 2026-06-29, Achieve must be registered through Canvas, and Gradescope setup is forthcoming.",2026-06-26,INTEGRAL CALCULUS (MTH_252Z_400_U2026),"Friendly Notes: Sections 400 and 401, Achieve, Gradescope, Due dates, etc.: INTEGRAL CALCULUS (MTH_252Z_400_U2026)",MTH 252,course,routine,high,P1,actionable,"Keep hot/unread for user attention because this MTH 252 setup announcement contains current course setup, Achieve, Gradescope, and first due-date information.",restored_unread,"Complete Start Here, register Achieve from inside Canvas, use the 14-day trial if needed, and watch for Gradescope details.",2026-06-29,TASK-0003,"Canvas notification from MTH 252 received Sun 6/21/2026 7:52 PM; announcement about Start Here, Achieve, Gradescope, and first due dates.","Full body read. Opening did not mark it read; Codex clicked Mark as read. Exact unread search isread:no ""Friendly Notes: Sections 400 and 401"" returned no results afterward. User identified this as a course announcement to keep hot; Codex selected the exact Outlook row, clicked Mark as unread, and verified unread search isread:no ""Friendly Notes: Sections 400 and 401"" returned the exact Sun 6/21 MTH 252 result."
EMAIL-0073,2026-06-22 00:01,MTH 253 Welcome to Week 1,"MTH 253 announcement lists Unit 1 learning materials and required work: Week 1 discussion, written homework, Achieve web homework, response post, and Unit 1 quiz timing.",2026-06-26,SEQUENCES AND SERIES (MTH_253Z_400_U2026),Welcome to Week 1!: SEQUENCES AND SERIES (MTH_253Z_400_U2026),MTH 253,course,routine,high,P1,actionable,Keep hot/unread for user attention because this MTH 253 course announcement contains Week 1 assignment and due-date information.,restored_unread,"Review Unit 1 Learning Materials and Unit 1 Overview, then complete the listed Unit 1 assignments.",2026-06-29,TASK-0004,Canvas notification from MTH 253 received Mon 6/22/2026 12:01 AM; Unit 1 overview and assignments.,"Full body read. Opening did not mark it read; Codex clicked Mark as read. Exact unread search isread:no ""Welcome to Week 1!"" returned no results afterward. Email says quiz closes Tuesday 6/29, but 2026-06-29 is Monday; verify in Canvas. User requested MTH 253 course announcements with needed information be moved to hot; Codex selected the exact Outlook row, clicked Mark as unread, and verified unread search isread:no ""Welcome to Week 1!"" returned the exact Mon 6/22 MTH 253 result."
